역명,degree,betweenness,closeness,pagerank,환승역,호선수,혼잡도,군집,z_betweenness,z_pagerank,z_혼잡도,BI_매개혼잡,CHI_영향력혼잡
독립문,0.008333333333333333,0.0833514312280002,0.07756948933419522,0.003854668035198722,False,1,39.834615384615375,3,0.556425415126042,-0.2998384974475538,0.4519885916749178,1.00841400680096,0.15215009422736397
경복궁,0.008333333333333333,0.09056900444975752,0.08313127814340146,0.003695362848514611,False,1,42.70384615384616,3,0.7132704161861899,-0.4519761029290285,0.6910390273216185,1.4043094435078083,0.23906292439258997
안국,0.008333333333333333,0.09778657767151484,0.08955223880597014,0.0033759884024892094,False,1,46.68589743589742,3,0.8701154172463381,-0.7569810088058517,1.0228042878750792,1.8929197051214173,0.2658232790692274
충무로,0.016666666666666666,0.07334213322707053,0.09880609304240429,0.005600393784456579,True,2,41.97820512820513,3,0.33891347484746265,1.367342219311453,0.630582125366287,0.9694956002137496,1.99792434467774
동대입구,0.008333333333333333,0.02306020455602044,0.09266409266409266,0.0031132253464844985,False,1,41.101282051282055,3,-0.7537625415098692,-1.0079216277627268,0.5575211343107273,-0.19624140719914196,-0.4504004934519995
약수,0.016666666666666666,0.10946304044630399,0.09565563969709047,0.006120574147727079,True,2,42.892307692307696,3,1.1238564961410915,1.86411822851562,0.7067407315396993,1.8305972276807907,2.570858960055319
금호,0.008333333333333333,0.07801720130172013,0.09022556390977443,0.003516674115803925,False,1,45.36666666666667,3,0.44050732566067924,-0.6226251350602241,0.912892358348515,1.3533996840091942,0.2902672232882909
옥수,0.008333333333333333,0.07465946071594605,0.08759124087591241,0.0037490686433512737,False,1,46.88461538461539,3,0.367540303428349,-0.4006866804249703,1.0393605066084313,1.4069008100367801,0.638673826183461
압구정,0.008333333333333333,0.07237331473733144,0.08550053437833986,0.0038411018059540765,False,1,47.98076923076923,3,0.31786009133731635,-0.3127943444959347,1.130686745427881,1.4485468367651975,0.8178924009319464
신사,0.008333333333333333,0.07104602510460252,0.08450704225352113,0.0038233400824746614,False,1,44.07820512820512,3,0.28901677552239147,-0.3297569188830486,0.8055439723677578,1.0945607478901493,0.4757870534847092
