호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
4호선,미아사거리,22.2,18.825,16.0,16.275,21.075,28.875,36.0,38.5,40.65,38.85,40.7,41.050000000000004,36.15,31.925,34.65,33.3,34.55,30.725,33.7,32.25,35.9,36.375,38.35,37.225,35.0,35.325,33.325,32.3,30.475,29.3,30.875,32.25,27.55,26.849999999999998,26.15,24.900000000000002,21.725,0.0,0.0,31.1125,32.85625,33.60625,29.746794871794872,41.050000000000004,11시00분,1.9034777190707763
4호선,불암산,1.7750000000000001,2.9,2.225,2.75,3.75,4.8,6.675,5.675,6.300000000000001,8.15,6.65,7.6,5.199999999999999,5.025,5.9,5.949999999999999,5.625,7.15,4.725,6.6,5.7,6.55,5.45,5.175,8.1,4.9750000000000005,5.35,5.4,2.825,3.7,6.25,3.3249999999999997,3.9250000000000003,3.325,3.2,4.625,1.9,0.0,0.0,5.2250000000000005,4.6375,5.625,4.748717948717948,8.15,10시00분,1.7533330216296852
4호선,사당,12.975000000000001,11.9,10.425,8.575,13.525,21.8,20.25,37.875,33.099999999999994,40.175000000000004,43.075,33.05,40.2,32.15,28.7,39.825,27.025,39.675,30.975,31.625,34.575,33.2,35.85,37.325,33.425,43.8,33.025,26.85,31.425,25.075,22.6,28.875,21.55,26.275,18.25,18.375,26.05,7.975,0.0,23.3625,33.775,31.924999999999997,27.21538461538461,43.8,18시00분,1.7897415257716047
4호선,삼각지,15.1,13.8,8.175,8.35,11.275,15.725,19.825,27.45,27.675,30.375,32.5,34.575,33.0,28.8,31.225,30.55,31.125,30.85,31.575,30.3,34.375,37.025,35.6,35.725,35.8,34.225,33.55,28.175,28.325,25.175,24.65,27.8,23.9,23.1,20.9,23.875,18.05,0.0,0.0,18.56875,31.06875,30.425,25.192307692307686,37.025,16시00분,1.6314707762869096
4호선,상계,3.625,4.825,3.6750000000000003,5.1,5.8,8.7,10.7,10.8,12.9,12.2,11.45,11.75,8.85,9.424999999999999,8.825,10.675,8.675,10.2,8.325,9.65,8.8,10.075,8.7,9.725,9.775,8.825000000000001,8.125,7.325,6.375,7.15,6.225,6.8,5.625,6.625,5.925,4.949999999999999,2.775,0.0,0.0,9.0,7.6625000000000005,9.4,7.69102564102564,12.9,9시30분,1.7726061944035965
4호선,서울역,9.125,12.225,8.1,9.2,11.325,18.6,22.575,30.125,34.05,34.75,40.2,40.05,40.55,36.550000000000004,40.675,34.775,41.15,34.35,39.85,35.275,41.85,39.225,43.925000000000004,42.5,41.85,42.5,36.975,33.875,33.25,29.674999999999997,28.8,32.6,28.474999999999998,26.875,25.174999999999997,27.625,20.95,0.0,0.0,20.65625,36.65,38.2875,29.477564102564102,43.925000000000004,16시30분,1.4967351878097241
4호선,성신여대입구,25.45,21.225,16.875,18.275,22.575,32.925,38.0,46.599999999999994,45.574999999999996,46.375,47.85,47.45,44.875,36.125,42.375,38.65,41.375,36.075,41.875,37.4,42.85,42.35,44.125,45.475,40.725,45.225,39.3,37.25,37.800000000000004,34.375,35.199999999999996,38.95,31.8,32.85,31.975,30.1,25.3,0.0,0.0,35.025,39.893750000000004,39.63125,34.96346153846154,47.85,10시30분,1.8903957889192042
4호선,수유,21.5,16.875,14.275,14.375,18.325,25.450000000000003,31.875,34.35,38.3,33.55,37.8,36.05,30.825000000000003,30.099999999999998,29.875,28.825,31.025000000000002,27.3,28.7,28.225,29.4,31.799999999999997,33.2,31.700000000000003,30.2,31.425,27.525000000000002,26.225,25.425,25.1,25.45,24.275,23.15,22.575,21.975,19.775000000000002,18.475,0.0,0.0,27.5,27.650000000000002,29.95625,25.776282051282053,38.3,9시30분,1.8410180900140007
4호선,숙대입구,11.0,13.0,7.7250000000000005,8.075,10.85,14.975,18.825,25.4,27.6,29.85,32.3,33.1,33.55,29.625,31.05,28.675,31.75,28.650000000000002,33.35,29.3,34.25,33.475,36.75,36.0,33.9,34.7,32.7,27.25,28.525,24.475,24.15,26.475,22.700000000000003,22.35,20.375,22.599999999999998,16.925,0.0,0.0,17.5125,30.793750000000003,30.275,24.519230769230774,36.75,16시30분,1.595582110798279
4호선,신용산,14.5,14.325,7.875,7.725,10.675,14.625,19.125,25.675,26.925,30.325,31.95,34.474999999999994,32.65,29.05,31.325,30.35,31.3,31.325,31.125,31.65,34.25,37.65,37.025,36.7,36.925,35.05,36.375,29.974999999999998,29.55,26.825,26.25,29.025,26.675,25.6,22.6,25.75,19.224999999999998,0.0,0.0,17.525,32.7375,30.506249999999998,25.703205128205123,37.65,16시00분,1.6476131400085838
4호선,쌍문,9.8,15.75,11.825,13.1,17.325,23.95,27.7,33.05,32.85,30.400000000000002,35.2,31.200000000000003,27.25,26.674999999999997,27.175,27.6,24.8,26.05,22.975,26.974999999999998,26.1,27.275,28.15,29.25,25.375,28.55,24.6,22.625,22.075,22.025,21.925,21.15,19.150000000000002,19.349999999999998,18.675,16.675,16.025,0.0,0.0,25.506249999999998,24.462500000000002,26.562499999999996,22.5801282051282,35.2,10시30분,1.8811763997674769
4호선,이촌,15.775,13.85,8.15,9.425,11.2,17.65,19.875,27.05,29.425,31.2,33.575,37.625,34.55,31.15,32.65,31.925,31.7,33.05,30.825,33.9,34.65,37.3,38.525,38.975,39.025,36.2,37.675,29.1,28.125,26.2,25.025,27.7,25.625,23.55,22.725,23.075,21.375,0.0,0.0,18.943749999999998,32.775,31.85625,26.394871794871797,39.025,17시30분,1.6235039710102737
4호선,창동,7.324999999999999,12.025,8.5,9.875,13.25,18.425,22.15,26.049999999999997,26.425,23.25,28.35,25.125,21.674999999999997,21.425,21.575000000000003,23.475,19.225,21.475,18.725,21.675,21.325,21.6,23.35,23.2,20.45,24.025,20.15,16.725,16.900000000000002,15.775,15.225,17.15,13.825,14.85,14.65,12.875,13.600000000000001,3.9,0.0,19.96875,19.45,21.424999999999997,17.937820512820515,28.35,10시30분,1.8398482221774461
4호선,총신대입구,8.600000000000001,15.55,10.775,10.35,14.025,20.275,21.725,32.4,35.425,38.875,37.45,38.575,39.4,35.475,32.925,36.625,30.675,38.3,30.75,36.475,33.125,39.1,39.725,38.175,39.4,39.725,38.575,31.549999999999997,30.15,28.125,27.2,28.700000000000003,27.85,26.25,22.35,25.575,23.125,0.0,0.0,22.10625,35.0,33.925000000000004,28.291025641025644,39.725,16시30분,1.683308719725609
4호선,충무로,16.575,14.375,11.3,13.9,17.325,24.525,32.275,39.125,43.2,43.775,49.825,49.925,51.05,43.825,48.8,41.725,49.225,43.275000000000006,47.4,45.85,54.0,50.225,58.800000000000004,54.45,53.05,57.65,47.825,45.85,45.6,42.975,39.55,45.7,39.05,35.975,34.075,36.525,21.525,0.0,0.0,28.3125,49.231249999999996,45.89375,38.207692307692305,58.800000000000004,16시30분,1.6896363515808503
