호선,역명_표준,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,아침첨두_평균,저녁첨두_평균,낮시간_평균,전체_평균,최대혼잡도,최대혼잡시간,첨두_집중도
5호선,하남검단산,3.25,3.55,4.45,4.95,5.7,4.75,5.55,4.25,3.7,3.6,3.15,2.85,2.65,2.65,2.55,2.7,2.8,3.0,2.65,2.45,3.1,3.55,3.6,3.2,2.4,3.35,3.2,2.55,1.8,2.1,1.5,1.5,1.25,2.4,1.35,0.6,0.25,0.35,0.0,5.0625,2.7250000000000005,2.675,2.8012820512820507,5.7,7시30분,2.9112138649667796
5호선,하남시청,8.3,10.5,11.3,12.4,14.549999999999999,12.75,14.0,11.399999999999999,10.15,9.2,8.95,8.15,8.85,9.0,8.4,8.6,8.5,8.4,8.7,9.0,10.0,11.8,12.05,11.7,9.75,13.85,10.7,8.85,6.550000000000001,7.3500000000000005,6.4,6.199999999999999,6.0,6.6,5.25,3.65,2.6,1.95,1.2,13.174999999999999,9.9875,8.625,8.808974358974359,14.549999999999999,7시30분,2.6855069350136893
5호선,하남풍산,9.4,13.3,14.65,16.0,19.15,18.9,17.85,15.5,13.15,12.45,11.3,11.3,11.600000000000001,12.600000000000001,12.399999999999999,12.65,12.7,12.6,12.95,14.95,16.6,18.65,19.0,19.2,20.4,28.75,19.049999999999997,15.75,10.05,12.25,11.2,11.0,10.55,11.25,9.649999999999999,6.85,4.8,3.75,2.4,17.85,18.4,12.587499999999999,13.501282051282047,28.75,18시00분,2.8798408834287286
5호선,행당,20.450000000000003,24.049999999999997,28.2,47.3,60.9,69.1,45.6,38.0,33.55,28.0,28.85,30.55,27.599999999999998,28.85,30.55,29.85,29.35,29.0,29.25,34.3,35.2,40.0,49.45,55.449999999999996,57.5,54.599999999999994,52.1,44.55,42.15,34.7,33.1,32.9,29.299999999999997,30.299999999999997,26.75,21.9,16.75,11.55,6.199999999999999,53.4,48.35,29.65,35.070512820512825,69.1,8시00분,3.43170308830681
5호선,화곡,29.049999999999997,23.1,26.75,44.6,63.5,66.19999999999999,45.5,28.9,27.1,24.299999999999997,24.4,23.55,23.95,25.299999999999997,24.9,26.0,25.700000000000003,23.7,24.85,26.700000000000003,30.4,34.3,36.2,40.25,41.55,48.8,47.5,36.0,28.549999999999997,26.549999999999997,24.05,22.35,21.15,25.85,18.25,14.399999999999999,9.1,8.15,3.7,51.025,40.212500000000006,25.474999999999998,29.36282051282051,66.19999999999999,8시00분,3.5814522637310207
6호선,고려대,14.75,17.8,21.400000000000002,29.9,43.4,58.85,47.800000000000004,43.5,34.0,29.95,20.9,26.9,24.2,24.549999999999997,24.950000000000003,25.9,24.9,22.450000000000003,26.299999999999997,30.1,28.8,34.05,38.2,40.55,55.349999999999994,54.6,58.55,41.75,27.950000000000003,22.5,24.2,24.8,26.799999999999997,26.049999999999997,23.1,17.15,12.25,8.3,4.8999999999999995,48.3875,45.712500000000006,25.075000000000003,29.803846153846152,58.85,8시00분,3.7527416250152887
6호선,공덕,11.899999999999999,16.400000000000002,16.15,24.5,32.1,40.45,34.45,27.0,33.3,27.35,25.95,24.65,23.049999999999997,23.450000000000003,26.0,27.7,25.95,24.1,24.45,28.1,31.2,34.349999999999994,40.35,46.05,50.45,68.65,58.9,41.3,30.35,27.9,27.95,28.5,29.7,30.0,26.0,20.2,13.9,11.4,3.95,33.5,49.800000000000004,25.775000000000002,29.18205128205129,68.65,18시00분,3.231813647650295
6호선,광흥창,15.75,14.35,15.350000000000001,25.75,30.9,38.05,31.549999999999997,23.65,30.049999999999997,19.95,22.55,20.7,20.65,21.0,22.549999999999997,24.5,23.6,21.05,21.9,25.0,28.5,30.1,35.05,37.5,39.4,55.5,44.55,33.3,25.200000000000003,23.5,22.45,23.5,23.85,25.75,20.9,16.75,11.75,7.65,5.949999999999999,31.037499999999994,39.6375,22.9125,25.128205128205124,55.5,18시00분,3.0845606946181907
6호선,구산,18.0,13.0,20.8,33.9,41.4,45.9,29.3,23.3,24.3,20.6,19.1,19.8,16.8,18.6,18.8,18.0,17.9,16.9,18.2,19.5,21.0,24.4,25.0,25.8,20.3,23.2,22.7,14.7,13.1,12.2,11.0,10.1,10.0,11.8,7.3,6.2,4.3,2.8,1.6,34.975,18.424999999999997,18.325000000000003,18.502564102564104,45.9,8시00분,2.914051682725692
6호선,녹사평,10.45,17.15,17.2,25.65,35.3,43.150000000000006,34.15,30.049999999999997,31.700000000000003,25.5,22.549999999999997,24.0,20.450000000000003,21.3,23.6,22.549999999999997,23.15,21.549999999999997,21.8,26.1,26.95,31.8,40.75,39.6,46.099999999999994,56.45,51.8,37.45,28.049999999999997,25.5,25.35,25.95,27.05,28.35,25.5,19.2,14.15,12.1,5.2,35.662499999999994,43.4375,22.65,27.29871794871795,56.45,18시00분,3.4922735765000628
6호선,대흥,15.799999999999999,14.45,15.450000000000001,25.6,30.55,39.25,32.2,24.85,28.5,20.25,22.200000000000003,20.55,19.85,20.9,22.6,24.6,23.950000000000003,21.85,21.950000000000003,26.05,28.35,32.1,35.45,38.8,41.0,56.8,44.1,34.25,26.0,24.799999999999997,24.0,25.5,25.95,28.25,22.55,18.1,12.2,9.25,6.35,31.7125,40.2875,23.0125,25.77435897435898,56.8,18시00분,3.1287342475292017
6호선,독바위,5.3,5.4,7.4,12.7,14.8,14.3,9.6,8.0,8.5,8.9,9.0,8.8,9.4,9.5,9.5,10.1,10.7,10.8,11.3,11.5,13.9,15.1,17.4,15.8,15.0,20.7,23.6,15.7,11.8,10.6,9.9,10.0,9.8,9.2,8.2,5.8,4.6,1.9,2.5,11.675,17.95,9.95,10.692307692307693,23.6,18시30분,2.9773866354385294
6호선,돌곶이,14.350000000000001,15.450000000000001,18.85,27.75,39.45,50.4,38.8,33.85,26.1,24.0,17.1,21.25,18.8,20.1,19.9,19.6,18.200000000000003,18.0,19.200000000000003,21.549999999999997,21.45,25.65,28.2,29.799999999999997,38.3,40.6,40.9,30.8,21.200000000000003,15.649999999999999,16.65,17.95,17.3,17.65,16.2,12.0,9.4,5.75,3.1999999999999997,40.62499999999999,33.375,19.450000000000003,22.855128205128207,50.4,8시00분,3.8046270537466804
6호선,동묘앞,14.8,19.200000000000003,22.1,32.05,49.35,66.25,56.4,48.199999999999996,45.65,40.599999999999994,26.7,34.05,32.25,29.45,31.3,34.349999999999994,31.3,28.75,31.75,37.8,36.0,41.45,50.15,56.1,70.2,71.95,77.1,52.7,36.75,30.85,32.95,34.15,35.6,37.25,34.15,24.849999999999998,18.05,15.3,7.4,55.05,59.625,31.599999999999998,37.82692307692307,77.1,18시30분,3.628955581362165
6호선,디지털미디어시티,17.55,19.1,22.65,39.55,40.9,52.9,36.05,28.299999999999997,29.95,24.5,22.8,21.3,20.700000000000003,22.35,22.700000000000003,23.25,23.0,21.950000000000003,21.3,24.95,28.3,31.95,37.55,40.35,42.45,58.550000000000004,58.800000000000004,37.05,31.4,26.950000000000003,24.55,25.3,26.0,26.85,21.85,17.65,11.45,7.15,5.8500000000000005,39.537499999999994,46.45,22.825000000000003,28.09615384615384,58.800000000000004,18시30분,3.7672506564183714
6호선,마포구청,20.4,21.3,24.1,43.6,47.7,62.8,42.8,32.85,34.55,24.85,26.15,23.65,22.55,24.35,24.5,25.45,24.95,22.95,23.35,25.85,30.2,34.4,39.3,42.0,43.55,60.25,61.199999999999996,38.75,31.799999999999997,28.450000000000003,25.700000000000003,27.299999999999997,27.1,27.85,22.25,18.5,11.5,6.65,6.35,46.5375,48.0,24.8125,30.3025641025641,62.8,8시00분,3.810075413195953
6호선,망원,23.85,22.4,25.65,46.5,50.15,64.60000000000001,47.95,34.55,36.85,26.849999999999998,28.099999999999998,25.65,25.1,26.9,28.0,29.25,28.450000000000003,26.25,27.25,30.5,34.45,37.95,42.900000000000006,48.05,48.7,70.25,65.85,44.5,35.7,33.35,30.4,31.7,31.75,33.35,25.75,20.75,13.85,8.75,5.65,49.3125,54.075,28.150000000000002,33.80641025641027,70.25,18시00분,3.672735215888624
6호선,버티고개,10.649999999999999,14.5,15.8,23.549999999999997,34.0,43.650000000000006,33.6,30.75,32.55,26.049999999999997,20.7,24.2,20.950000000000003,21.049999999999997,23.9,22.75,23.6,21.5,22.0,27.35,26.200000000000003,30.5,38.8,40.25,47.15,53.55,48.7,35.0,25.3,22.8,23.5,23.950000000000003,26.3,26.35,24.299999999999997,17.45,13.55,11.25,4.75,35.5,40.6375,22.824999999999996,26.48076923076923,53.55,18시00분,3.3357063160698224
6호선,보문,14.4,19.8,24.200000000000003,35.5,51.65,68.65,59.599999999999994,51.4,40.4,41.7,27.1,32.599999999999994,32.95,30.150000000000002,30.6,34.7,30.35,28.1,31.650000000000002,37.900000000000006,34.6,44.0,46.65,48.400000000000006,68.25,67.15,67.9,47.0,33.95,28.05,30.85,30.5,34.95,34.95,30.75,23.1,17.5,13.4,6.7,57.825,54.0,31.450000000000003,36.719230769230776,68.65,8시00분,3.555643766116255
6호선,봉화산,3.2,3.75,5.05,7.75,10.5,11.35,8.75,7.75,6.5,4.449999999999999,3.4,4.75,3.75,4.3999999999999995,3.9000000000000004,4.4,3.8499999999999996,3.35,3.45,4.15,4.1,3.6500000000000004,4.35,5.550000000000001,5.6,7.4,7.1,3.85,2.2,3.05,2.2,2.25,1.65,1.7,2.45,1.4500000000000002,1.2,0.6000000000000001,0.15000000000000002,9.5875,5.1375,4.1375,4.332051282051281,11.35,8시00분,3.558911526547063
6호선,불광,5.0,4.5,6.2,9.6,11.0,11.3,7.3,6.8,7.5,8.3,7.8,8.5,9.1,9.1,9.0,10.2,10.9,11.0,11.0,12.5,14.8,16.1,18.7,16.5,16.8,23.1,27.2,18.4,13.8,12.1,11.6,11.7,11.7,11.1,9.9,7.0,5.6,2.8,2.8,9.1,20.624999999999996,9.8,10.982051282051282,27.2,18시30분,3.033162955799698
6호선,삼각지,10.3,17.75,17.45,25.7,36.9,45.599999999999994,38.55,32.05,35.4,27.8,24.5,26.299999999999997,23.1,22.55,26.5,25.4,25.6,23.5,23.8,28.25,29.3,34.55,40.85,45.5,50.5,67.2,56.2,40.5,31.150000000000002,28.75,28.25,28.8,29.4,30.8,27.5,21.1,15.1,12.45,5.75,38.275,48.7625,25.012499999999996,29.760256410256407,67.2,18시00분,3.4797599808191912
6호선,상수,15.65,14.100000000000001,14.9,26.5,29.55,38.3,30.15,21.549999999999997,25.95,19.0,20.15,19.85,18.799999999999997,20.05,21.25,24.35,22.6,20.6,21.35,25.3,27.65,30.400000000000002,34.95,36.05,37.400000000000006,51.0,44.5,31.7,24.85,23.700000000000003,22.55,24.1,24.8,26.15,21.05,17.15,11.85,7.8,5.6,29.8875,38.0125,22.0625,24.44102564102564,51.0,18시00분,3.077620257105031
6호선,상월곡,12.899999999999999,15.95,19.35,28.4,41.050000000000004,51.25,41.300000000000004,35.85,27.2,24.3,18.15,21.799999999999997,19.6,21.0,21.25,20.75,19.8,19.65,21.05,23.95,23.700000000000003,28.6,31.200000000000003,32.65,42.95,44.849999999999994,46.95,34.15,23.55,17.35,18.75,20.2,19.700000000000003,20.25,18.75,13.85,10.05,6.5,3.8499999999999996,42.362500000000004,37.375,20.7,24.67692307692308,51.25,8시00분,3.852052954007104
6호선,새절,18.35,17.75,21.450000000000003,36.85,38.1,48.95,31.35,24.2,27.0,21.65,20.6,19.45,18.3,20.1,19.75,20.8,19.85,19.0,18.950000000000003,21.5,24.15,29.4,31.0,33.45,31.9,40.35,43.800000000000004,26.75,23.150000000000002,20.2,18.15,19.299999999999997,18.9,20.9,15.8,12.899999999999999,8.05,4.95,3.25,35.65,33.5125,20.125,23.341025641025638,48.95,8시00분,3.4366457919679103
6호선,석계,13.5,14.6,17.5,25.1,35.2,47.35,35.85,30.0,24.5,20.9,15.5,20.0,17.45,19.15,18.950000000000003,18.65,17.950000000000003,17.2,18.8,20.95,21.25,22.1,28.150000000000002,28.75,37.2,38.9,40.3,29.799999999999997,20.65,15.350000000000001,15.75,17.05,16.55,16.5,15.399999999999999,11.450000000000001,9.05,5.75,3.1,37.1,32.412499999999994,18.675,21.59358974358974,47.35,8시00분,3.7222220229064504
6호선,신내,1.6,1.8,4.45,5.0,11.0,8.9,6.65,8.75,5.85,3.6,2.45,4.05,2.4,3.3,3.65,3.05,1.95,3.0,2.85,2.65,1.75,3.65,4.3,3.2,3.7,4.35,2.85,2.8,2.2,1.5,0.9,1.55,0.9,1.15,0.75,0.5,0.3,0.2,0.0,8.825,3.05,2.9875,3.1666666666666674,11.0,7시30분,3.9748940669810655
6호선,신당,12.399999999999999,16.75,18.75,26.85,40.9,55.5,47.7,39.4,38.25,32.55,24.3,29.799999999999997,28.65,26.15,28.25,30.950000000000003,27.9,26.25,28.950000000000003,35.0,33.35,38.099999999999994,44.75,49.9,62.25,70.05,67.1,46.2,32.2,28.45,30.5,31.1,33.55,34.45,30.8,23.15,16.5,13.85,6.9,45.87500000000001,53.88749999999999,28.3125,33.54871794871795,70.05,18시00분,3.523620184596196
6호선,안암,12.2,17.65,21.2,30.4,44.1,59.55,47.25,43.650000000000006,33.85,30.85,22.15,28.65,25.85,27.3,26.299999999999997,28.95,27.45,25.3,31.85,35.05,33.0,43.15,44.349999999999994,46.25,66.94999999999999,63.449999999999996,64.5,45.3,32.4,27.3,29.650000000000002,29.85,33.8,34.45,29.3,22.1,16.8,12.850000000000001,6.6,48.6375,51.4125,27.5,33.37435897435897,66.94999999999999,17시30분,3.6381816858843026
6호선,약수,9.1,14.600000000000001,16.3,23.05,32.35,43.8,33.650000000000006,30.4,32.3,27.549999999999997,21.35,26.35,23.1,22.8,25.25,25.85,24.549999999999997,23.9,24.8,29.4,29.549999999999997,34.95,41.2,44.35,54.5,60.3,59.849999999999994,42.6,30.2,26.6,27.3,27.9,30.150000000000002,29.450000000000003,27.95,20.05,14.7,11.85,5.45,35.050000000000004,48.2375,24.6125,28.957692307692312,60.3,18시00분,3.383951106797314
6호선,역촌,9.5,11.2,12.5,20.4,23.3,24.3,18.8,16.0,17.1,16.7,15.9,15.5,16.2,16.9,16.4,17.9,17.7,16.6,16.1,20.0,21.3,22.6,26.2,26.3,27.6,37.9,41.9,25.7,20.4,18.0,16.3,17.6,17.7,17.8,14.6,11.4,7.9,4.0,4.1,20.6,31.475,17.224999999999998,18.41794871794872,41.9,18시30분,3.023221885444303
6호선,연신내,12.3,10.6,16.8,27.6,34.9,36.0,22.8,18.3,20.3,16.9,16.1,16.9,15.3,16.3,17.3,16.6,16.9,16.6,18.5,19.6,22.6,25.9,26.5,27.3,23.1,26.6,28.9,19.1,16.7,14.8,12.8,13.1,12.3,12.9,9.5,7.6,5.1,3.7,2.5,28.0,22.825,16.775,17.88717948717949,36.0,8시00분,3.029806078700085
6호선,월곡,14.2,16.85,21.3,30.55,44.2,56.35,44.3,39.4,30.7,27.4,19.35,23.6,21.8,22.75,22.75,23.450000000000003,22.200000000000003,20.549999999999997,23.75,26.85,25.799999999999997,31.55,32.8,36.15,46.900000000000006,48.6,50.400000000000006,36.65,25.35,19.3,20.4,21.9,21.9,21.75,20.200000000000003,15.0,10.9,6.85,3.85,46.06250000000001,40.25,22.7875,26.88589743589743,56.35,8시00분,3.7877123954925986
6호선,월드컵경기장,18.3,19.950000000000003,21.85,38.75,43.45,56.85,39.5,29.55,31.75,23.45,22.8,21.15,20.35,21.9,22.3,23.2,22.8,21.25,21.4,24.4,28.75,32.45,38.05,40.6,41.85,57.6,56.949999999999996,37.0,31.950000000000003,27.25,24.85,26.400000000000002,26.599999999999998,27.299999999999997,21.8,18.0,11.8,7.300000000000001,6.4,42.337500000000006,45.875,22.55,28.40641025641026,57.6,18시00분,3.911862354241137
